epoch,accuracy,loss,val_accuracy,val_loss
0,0.43171132,1.5240284839125402,0.4147394895553589,1.556303068335324
1,0.4741022,1.4126042874738287,0.45179715752601624,1.5570109796643623
2,0.49510607,1.3473539070120724,0.42560601234436035,1.5956938313919709
3,0.51238286,1.3028351511280591,0.5231262445449829,1.302550194820809
4,0.5279529,1.2584748741078018,0.5178322792053223,1.3167571557800428
5,0.5403532,1.233002288845034,0.5055725574493408,1.3264971199923155
6,0.5458567,1.2092816022592692,0.5337141156196594,1.2809339411313834
7,0.5518479,1.1916691119936036,0.553775429725647,1.1669941812745375
8,0.5598941,1.1702813805447232,0.5585120916366577,1.1877599216231598
9,0.5681842,1.153986089219369,0.5670102834701538,1.166801449780213
10,0.5719461,1.1401145916514281,0.5794093012809753,1.1336514190167364
11,0.5777979,1.1265212775061524,0.5466703772544861,1.2466153215983347
12,0.58068895,1.119432508694249,0.5427695512771606,1.210325920904005
13,0.58626217,1.1081478504216253,0.5745332837104797,1.1396485516273667
14,0.58650595,1.1004091286975648,0.5696572661399841,1.14533388880376
